Full Address,LAT_LONG
"315 WEST 106TH New York, NY 10025","[40.802132, -73.96951]"
"241 WEST 107 STREET                       New York, NY 10025","[40.802052, -73.966852]"
"322 WEST 106 STREET                       New York, NY 10025","[40.8019712, -73.9698484]"
"336 RIVERSIDE DRIVE                       New York, NY 10025","[40.8019522, -73.9699861]"
"212 WEST 108TH STREET New York, NY 10025","[40.801935, -73.9657273]"
"200 WEST 108TH New York, NY 10025","[40.8017879, -73.9651719]"
"333 RIVERSIDE DRIVE                       New York, NY 10025","[40.801779, -73.97012389999999]"
"211 WEST 107TH STREET New York, NY 10025","[40.801719, -73.96617499999999]"
"308 WEST 106 STREET New York, NY 10025","[40.8017019, -73.9693777]"
"304 WEST 106 STREET New York, NY 10025","[40.8016823, -73.96924]"
"209 WEST 107TH STREET                     New York, NY 10025","[40.80166090000001, -73.9660373]"
"207 WEST 107TH STREET                     New York, NY 10025","[40.8016413, -73.9658995]"
"124 WEST 109TH STREET New York, NY 10025","[40.8016091, -73.96296079999999]"
"203 WEST 107TH ST                         New York, NY 10025","[40.8015316, -73.9656699]"
"964 AMSTERDAM AVENUE New York, NY 10025","[40.8014793, -73.9653026]"
"325 RIVERSIDE DRIVE New York, NY 10025","[40.8013685, -73.9704912]"
"305 WEST 105TH STREET New York, NY 10025","[40.8013679, -73.96946960000001]"
"308 WEST 105TH STREET                     New York, NY 10025","[40.8010763, -73.96985980000001]"
"59 WEST 109 STREET New York, NY 10025","[40.801026, -73.960622]"
"238 WEST 106TH STREET New York, NY 10025","[40.8007503, -73.96695559999999]"
"238 WEST 106 STREET New York, NY 10025","[40.8007503, -73.96695559999999]"
"315 RIVERSIDE DRIVE New York, NY 10025","[40.800728, -73.9709295]"
"172 WEST 107 STREET                       New York, NY 10025","[40.800702, -73.96484199999999]"
"220 MANHATTAN AVE New York, NY 10025","[40.8006786, -73.9592644]"
"220 MANHATTAN AVENUE New York, NY 10025","[40.8006786, -73.9592644]"
"905 WEST END AVENUE                       New York, NY 10025","[40.8006756, -73.96954989999999]"
"320 WEST 104TH STREET New York, NY 10025","[40.800572, -73.970665]"
"943 AMSTERDAM AVENUE New York, NY 10025","[40.8005586, -73.9652682]"
"314 WEST 104 STREET                       New York, NY 10025","[40.8005216, -73.9704338]"
"155 WEST 106TH STREET New York, NY 10025","[40.800394, -73.964861]"
"151 WEST 106TH STREET New York, NY 10025","[40.800325, -73.964703]"
"245 WEST 104TH STREET New York, NY 10025","[40.800214, -73.9686086]"
"245 WEST 104TH New York, NY 10025","[40.800214, -73.9686086]"
"245 WEST 104TH ST New York, NY 10025","[40.800214, -73.9686086]"
"215 WEST 105TH STREET New York, NY 10025","[40.8002069, -73.9667949]"
"315 WEST 103 STREET                       New York, NY 10025","[40.8001992, -73.97067489999999]"
"230 WEST 105TH STREET New York, NY 10025","[40.8001792, -73.96749770000001]"
"230 W 105 ST New York, NY 10025","[40.8001792, -73.96749770000001]"
"307 WEST 103RD STREET                     New York, NY 10025","[40.8001425, -73.9704797]"
"961 COLUMBUS AVENUE New York, NY 10025","[40.799918, -73.962069]"
"485 CENTRAL PARK WEST New York, NY 10025","[40.7998943, -73.9591725]"
"11 WEST 108TH STREET New York, NY 10025","[40.7998716, -73.959758]"
"11 WEST 108TH New York, NY 10025","[40.7998716, -73.959758]"
"308 WEST 103RD STREET New York, NY 10025","[40.7998396, -73.97085849999999]"
"308 WEST 103RD New York, NY 10025","[40.7998396, -73.97085849999999]"
"67 WEST 107 STREET                        New York, NY 10025","[40.799831, -73.961573]"
"242 WEST 104 STREET New York, NY 10025","[40.7998029, -73.9687005]"
"161 WEST 105TH STREET New York, NY 10025","[40.7997767, -73.9655322]"
"161 WEST 105 New York, NY 10025","[40.7997767, -73.9655322]"
"65 WEST 107 STREET                        New York, NY 10025","[40.7997421, -73.9614914]"
"65 WEST 107TH STREET New York, NY 10025","[40.7997421, -73.9614914]"
"63 WEST 107TH STREET                      New York, NY 10025","[40.7997299, -73.961338]"
"63 WEST 107 STREET                        New York, NY 10025","[40.7997299, -73.961338]"
"480 CENTRAL PARK WEST New York, NY 10025","[40.799721, -73.959192]"
"875 WEST END AVENUE New York, NY 10025","[40.7997133, -73.97037639999999]"
"478 CENTRAL PARK WEST New York, NY 10025","[40.7996, -73.95927999999999]"
"68 WEST 107 STREET New York, NY 10025","[40.7995374, -73.9619506]"
"940 COLUMBUS AVENUE                       New York, NY 10025","[40.799521, -73.963059]"
"66 WEST 107 STREET New York, NY 10025","[40.7995113, -73.9617669]"
"309 WEST 102ND STREET New York, NY 10025","[40.7994751, -73.9709389]"
"147 WEST 105TH STREET New York, NY 10025","[40.7993703, -73.96484339999999]"
"60 WEST 107 STREET New York, NY 10025","[40.799292, -73.961497]"
"292 RIVERSIDE DRIVE New York, NY 10025","[40.7992843, -73.9722262]"
"246 WEST 103 STREET New York, NY 10025","[40.799265, -73.96951100000001]"
"69 WEST 106TH STREET New York, NY 10025","[40.7992426, -73.9623179]"
"250 WEST 103 STREET New York, NY 10025","[40.7992102, -73.96954989999999]"
"475 CENTRAL PARK WEST New York, NY 10025","[40.7991742, -73.9594412]"
"61 WEST 106TH STREET                      New York, NY 10025","[40.7991518, -73.9619506]"
"473 CENTRAL PARK WEST New York, NY 10025","[40.799105, -73.95965699999999]"
"5 WEST 107TH STREET New York, NY 10025","[40.7990864, -73.95999909999999]"
"855 WEST END AVENUE New York, NY 10025","[40.7990285, -73.97067059999999]"
"12 WEST 107TH STREET New York, NY 10025","[40.7989846, -73.96042179999999]"
"851 WEST END AVENUE                       New York, NY 10025","[40.798978, -73.97089299999999]"
"205 WEST 103RD ST. New York, NY 10025","[40.798951, -73.96757099999999]"
"205 WEST 103RD STREET New York, NY 10025","[40.798951, -73.96757099999999]"
"327 WEST 101ST STREET                     New York, NY 10025","[40.7989159, -73.971685]"
"924 COLUMBUS AVENUE                       New York, NY 10025","[40.7989045, -73.96346590000002]"
"235 WEST102ND STREET New York, NY 10025","[40.79884759999999, -73.9694433]"
"332 WEST 101 New York, NY 10025","[40.798761, -73.97215560000001]"
"845 WEST END AVENUE                       New York, NY 10025","[40.798751, -73.9712029]"
"2681 BROADWAY New York, NY 10025","[40.7987484, -73.9692328]"
"467 CENTRAL PARK WEST New York, NY 10025","[40.7987103, -73.9599302]"
