,LAT,LONG,YEAR,SALE PRICE
503,40.7734467,-73.9559498,2018,1225000
504,40.7734851,-73.95246829999999,2017,10152612
505,40.7734851,-73.95246829999999,2018,941881
506,40.773503000000005,-73.95277,2017,3240500
507,40.773518700000004,-73.9573473,2017,770000
508,40.773519,-73.957347,2017,1435000
509,40.773548999999996,-73.947784,2017,728290
510,40.773548999999996,-73.947784,2018,732246
511,40.7735677,-73.9574003,2017,5408500
512,40.773604999999996,-73.95806400000001,2017,21405000
513,40.773604999999996,-73.95806400000001,2018,2450000
514,40.773607,-73.9561,2017,1480000
515,40.77360824,-73.9533561,2017,825000
516,40.7736175,-73.9530795,2017,615000
517,40.7736909,-73.95548149999999,2017,1500000
518,40.773700399999996,-73.96256600000001,2017,1050000
519,40.7737134,-73.9636473,2017,1325000
520,40.773714,-73.949642,2017,1100000
521,40.773724,-73.94624300000001,2017,515000
522,40.77373239999999,-73.9553281,2017,7514143
523,40.77373239999999,-73.9553281,2018,1265000
524,40.773747,-73.94774,2017,460000
525,40.773762,-73.948295,2017,5170000
526,40.773762,-73.948295,2018,2000000
527,40.7737635,-73.9644574,2017,9737500
528,40.7737635,-73.9644574,2018,4150000
529,40.773765600000004,-73.94664343,2017,405000
530,40.773796000000004,-73.958516,2017,2000000
531,40.77379620000001,-73.9535703,2017,1175000
532,40.7738231,-73.95552190000001,2017,755000
533,40.773863,-73.946574,2017,805027
534,40.773874,-73.95197759999999,2017,440000
535,40.7738995,-73.95571446,2017,3000000
536,40.7738995,-73.95571446,2018,1425000
537,40.773914000000005,-73.956016,2017,315000
538,40.7739859,-73.9489945,2017,3365000
539,40.774002200000005,-73.95596309999999,2017,4390226
540,40.774029999999996,-73.96244200000001,2017,7140625
541,40.774029999999996,-73.96244200000001,2018,1582000
542,40.7740363,-73.9502411,2017,329500
543,40.774066600000005,-73.9522989,2017,4137557
544,40.774066600000005,-73.9522989,2018,1310000
545,40.77408912,-73.95872524,2017,1275000
546,40.7741027,-73.9584378,2017,810000
547,40.774113,-73.962683,2017,815000
548,40.774128999999995,-73.946641,2017,650000
549,40.774136,-73.96342,2017,1600000
550,40.774148,-73.950671,2017,950000
551,40.774151,-73.957205,2017,4950000
552,40.77415429999999,-73.95634799999999,2017,6166850
553,40.774162100000005,-73.94672209999999,2017,699000
554,40.774174,-73.961474,2018,2550000
555,40.7741852,-73.96539440000001,2017,2350000
556,40.774186,-73.96337199999999,2017,1900000
557,40.77431,-73.956956,2017,792500
558,40.7743218,-73.95689329999999,2017,2475000
559,40.7743218,-73.95689329999999,2018,3475000
560,40.77432279999999,-73.9579991,2017,2150000
561,40.7743326,-73.9519172,2017,5263000
562,40.774334100000004,-73.9558546,2017,2052000
563,40.7743355,-73.96109990000001,2017,3280000
564,40.774414,-73.95760899999999,2017,810000
565,40.774418,-73.949854,2017,417000
566,40.774471999999996,-73.958148,2017,4500000
567,40.774495,-73.960533,2017,4250000
568,40.774522999999995,-73.9624787,2017,3600000
569,40.77457415,-73.94745919,2018,3950000
570,40.774587100000005,-73.9465215,2017,1625000
571,40.774614,-73.957677,2018,935000
572,40.774684,-73.96204399999999,2017,5795000
573,40.774684,-73.96204399999999,2018,1358450
574,40.774684,-73.95764764,2017,2882500
575,40.774704,-73.955861,2017,2733470
576,40.774704,-73.955861,2018,1953750
577,40.77471053,-73.95247624,2017,8807500
578,40.774743,-73.957984,2017,1200000
579,40.774743,-73.957984,2018,875000
580,40.77475,-73.9488864,2017,400000
581,40.774769,-73.948717,2017,325000
582,40.774769,-73.948717,2018,330000
583,40.774799,-73.945101,2017,1700000
584,40.774843,-73.948959,2017,1960000
585,40.774843,-73.948959,2018,675000
586,40.7748666,-73.9593332,2017,4516750
587,40.77487360000001,-73.9563207,2017,930000
588,40.77487360000001,-73.9563207,2018,6785000
589,40.7749146,-73.9532319,2017,2350000
590,40.7749467,-73.9622031,2017,625000
591,40.775023,-73.960669,2017,2099000
592,40.7750345,-73.95970059999999,2017,2500000
593,40.7750345,-73.95970059999999,2018,2100000
594,40.775047,-73.957412,2017,6575000
595,40.7750744,-73.9515728,2018,728000
596,40.775079999999996,-73.959562,2017,1080000
597,40.7751023,-73.9468888,2017,1012500
598,40.7751023,-73.9468888,2018,499000
599,40.77513,-73.95970799999999,2017,7321500
600,40.77513,-73.95970799999999,2018,1370000
601,40.775138299999995,-73.94578670000001,2017,3862500
602,40.77513885,-73.95177635,2017,1524000
