,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LAT,LONG,LAT_LONG
12545,12549,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1450,23, ,D4,"1445 1 AVENUE, 2002", ,10021,0,0,0, -  , -  ,1966,2,D4,1262000,2017-01-17 00:00:00,40.769905,-73.954574,"(40.769905, -73.954574)"
12546,12550,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1450,23, ,D4,"370 EAST 76TH STREET, A606", ,10021,0,0,0, -  , -  ,1966,2,D4,549855,2017-01-30 00:00:00,40.770664,-73.955019,"(40.770664, -73.955019)"
12553,12557,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1451,23, ,D4,"363 EAST 76TH STREET, 21G", ,10075,0,0,0, -  , -  ,1963,2,D4, -  ,2017-01-25 00:00:00,40.770606,-73.954364,"(40.770606, -73.954364)"
12554,12558,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1451,23, ,D4,"363 EAST 76TH STREET, 7C", ,10075,0,0,0, -  , -  ,1963,2,D4,1405000,2017-02-03 00:00:00,40.770606,-73.954364,"(40.770606, -73.954364)"
12563,12567,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1451,31, ,D4,"350 EAST 77TH STREET, 1J", ,10075,0,0,0, -  , -  ,1920,2,D4,481650,2017-01-13 00:00:00,40.77138,-73.955173,"(40.77138, -73.955173)"
12564,12568,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1451,31, ,D4,"350 EAST 77TH   STREET, 2D", ,10075,0,0,0, -  , -  ,1920,2,D4,810000,2017-01-06 00:00:00,40.77138,-73.955173,"(40.77138, -73.955173)"
12569,12573,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1452,6, ,D4,"315 EAST 77TH STREET, 5C", ,10075,0,0,0, -  , -  ,1928,2,D4,790000,2017-01-25 00:00:00,40.771805,-73.955242,"(40.771805, -73.955242)"
12591,12595,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1453,43, ,D4,"308 EAST 79TH STREET, 10L/M", ,10075,0,0,0, -  , -  ,1928,2,D4,1350000,2017-01-18 00:00:00,40.772926,-73.954489,"(40.772926, -73.954489)"
12592,12596,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1453,43, ,D4,"308 EAST 79TH STREET, 10K", ,10075,0,0,0, -  , -  ,1928,2,D4,822483,2017-02-17 00:00:00,40.772926,-73.954489,"(40.772926, -73.954489)"
12610,12614,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1460,1, ,D4,"401 EAST 65 STREET, 14A", ,10065,0,0,0, -  , -  ,1962,2,D4,1100000,2017-01-04 00:00:00,40.763321,-73.958862,"(40.763321, -73.958862)"
12611,12615,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1460,1, ,D4,"401 EAST 65TH STREET, 12E", ,10065,0,0,0, -  , -  ,1962,2,D4,475000,2017-01-04 00:00:00,40.763321,-73.958862,"(40.763321, -73.958862)"
12614,12618,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1460,17, ,D4,"435 EAST 65TH STREET, 5B", ,10065,0,0,0, -  , -  ,1963,2,D4,410000,2017-02-07 00:00:00,40.762786,-73.957569,"(40.762786, -73.957569)"
12624,12628,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1466,37, ,D4,"420 EAST 72ND STREET, 17A", ,10021,0,0,0, -  , -  ,1962,2,D4,1094000,2017-01-10 00:00:00,40.76732,-73.955269,"(40.76732, -73.955269)"
12625,12629,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1466,37, ,D4,"420 EAST 72ND STREET, 10FG", ,10021,0,0,0, -  , -  ,1962,2,D4,1535000,2017-02-21 00:00:00,40.76732,-73.955269,"(40.76732, -73.955269)"
12638,12642,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1469,28, ,D4,"444 EAST 75TH STREET, 5A", ,10021,0,0,0, -  , -  ,1963,2,D4,737000,2017-01-19 00:00:00,40.76879,-73.952555,"(40.76879, -73.952555)"
12639,12643,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1469,28, ,D4,"444 EAST 75TH STREET, 10H", ,10021,0,0,0, -  , -  ,1963,2,D4,566000,2017-02-06 00:00:00,40.76879,-73.952555,"(40.76879, -73.952555)"
